"","sp","x","y","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"435","coffini",-92.3047,15.2872,19.4039993286133,11.9126663208008,78.0851287841797,73.3734741210938,26.6840000152588,11.4280004501343,15.2559995651245,19.7706661224365,18.4099998474121,20.2193336486816,18.4099998474121,2258,441,11,88.0627670288086,1112,43,719,43
"436","coffini",-92.949,15.5105,26.9951667785645,12.345666885376,75.4440612792969,78.9888000488281,35.0880012512207,18.7240009307861,16.3640003204346,26.96533203125,26.0733337402344,28.0340003967285,26.0733337402344,2510,524,2,99.9361114501953,1430,16,305,16
"437","coffini",-88.6933,15.5231,26.2188339233398,9.49966621398926,69.0583419799805,156.954711914062,33.1520004272461,19.3959999084473,13.7560005187988,27.406665802002,25.8413333892822,27.7059993743896,24.0499992370605,2041,297,59,50.1252517700195,808,186,655,338
"438","coffini",-93.0661,15.5578,27.8773326873779,12.7239999771118,74.4790420532227,82.9775314331055,36.3479995727539,19.2639999389648,17.0839996337891,27.7740001678467,26.9446659088135,29.0046672821045,26.9446659088135,2393,508,2,99.297004699707,1355,17,295,17
"439","coffini",-93.3354,15.7337,28.2651672363281,12.4969997406006,75.8681411743164,77.1657867431641,36.6800003051758,20.2080001831055,16.4720001220703,28.1720008850098,27.4260005950928,29.2900009155273,27.4260005950928,2058,467,3,103.096733093262,1182,14,252,14
"440","coffini",-87.453,15.7354,25.6281661987305,9.06566619873047,67.5332717895508,154.504974365234,32.3680000305176,18.9440002441406,13.423999786377,24.4326667785645,26.4780006408691,27.1653327941895,23.546667098999,1881,260,49,45.455867767334,756,192,364,531
"441","coffini",-88.8414,15.7914,25.833833694458,8.55699920654297,67.4204330444336,151.570739746094,32.0599975585938,19.3680000305176,12.6919975280762,27.0300006866455,25.4033336639404,27.2333335876465,23.7406673431396,3019,524,81,57.7715034484863,1332,266,1048,466
"442","coffini",-93.5433,16.0022,21.0973339080811,11.949333190918,75.475830078125,117.320587158203,28.3360004425049,12.503999710083,15.8320007324219,21.92799949646,19.4513339996338,22.257999420166,19.4513339996338,1225,274,1,106.917594909668,726,6,573,6
"443","coffini",-90.25,16.11,26.3214988708496,10.0883331298828,66.8278579711914,153.310119628906,34.0319976806641,18.935998916626,15.0959987640381,27.1353340148926,26.2146663665771,27.9899997711182,24.1833324432373,3586,509,93,53.8669090270996,1464,334,742,518
"444","coffini",-94.2246,16.304,27.886833190918,13.1569995880127,73.7169418334961,109.760917663574,36.4360008239746,18.5880012512207,17.8479995727539,28.2353324890137,26.4699993133545,29.1906661987305,26.4699993133545,1515,386,1,111.957084655762,932,9,441,9
"445","coffini",-94.3453,16.3043,27.9648342132568,13.0423336029053,72.8784790039062,116.147407531738,36.3160018920898,18.4200000762939,17.8960018157959,28.4033336639404,26.4093322753906,29.3093338012695,26.4093322753906,1265,320,1,112.63355255127,775,11,379,11
"446","coffini",-93.8958,16.3077,25.6679992675781,12.0326671600342,74.7742080688477,110.499900817871,33.3880004882812,17.2959995269775,16.0920009613037,26.3166656494141,24.1253318786621,26.8453330993652,24.1253318786621,1042,224,0,112.77758026123,645,2,319,2
"447","coffini",-94.15,16.37,27.8041667938232,12.7503337860107,74.61572265625,100.568878173828,36.2799987792969,19.1919994354248,17.0879993438721,28.0786666870117,26.525333404541,29.0380001068115,26.525333404541,1562,392,1,110.948745727539,958,8,452,8
"448","coffini",-89.1433,16.3847,21.9516658782959,9.34333324432373,66.9869079589844,154.083343505859,28.8799991607666,14.9320001602173,13.9479990005493,23.2119998931885,21.7973346710205,23.5126667022705,19.8906669616699,2904,521,70,60.3336639404297,1304,249,604,432
"449","coffini",-91.8594,16.3875,19.519832611084,11.8363332748413,67.1298370361328,156.618392944336,28.2600002288818,10.6280002593994,17.6319999694824,20.3993339538574,18.0599994659424,21.1833324432373,17.3146667480469,1869,332,36,76.6111297607422,884,115,526,134
"450","coffini",-94.11,16.4,25.7014999389648,12.0123329162598,74.1685180664062,112.146705627441,33.507999420166,17.3120002746582,16.1959991455078,26.3280010223389,24.1553325653076,26.9166660308838,24.1553325653076,985,222,0,110.346725463867,599,5,302,5
"451","coffini",-94.2089,16.5922,21.4664993286133,11.1730003356934,74.3478851318359,116.016975402832,28.6159992218018,13.5880002975464,15.0279989242554,22.3273334503174,19.8533344268799,22.6366653442383,19.8533344268799,807,154,11,88.0188598632812,428,42,356,42
"452","coffini",-94.1127,16.733,21.2485008239746,11.1943340301514,70.0521469116211,147.025451660156,29.064001083374,13.0839996337891,15.980001449585,22.246000289917,20.8993339538574,22.732666015625,19.195333480835,958,159,19,65.5146484375,437,75,356,122
"453","coffini",-88.5325,16.7736,25.1523342132568,8.8439998626709,64.8577194213867,165.769943237305,31.5880012512207,17.9519996643066,13.6360015869141,26.3959999084473,24.7019996643066,26.7553329467773,22.9173336029053,2173,307,53,54.2323303222656,873,178,683,346
"454","coffini",-95.0391,16.9664,25.5044994354248,9.63966655731201,58.182430267334,206.224075317383,34.3920021057129,17.8239994049072,16.5680027008057,26.6406669616699,25.1626663208008,27.7766666412354,22.6773338317871,2195,472,33,91.3429107666016,1296,107,389,169
"455","coffini",-95.0602,16.9674,25.3215007781982,9.72566699981689,58.8578300476074,201.343200683594,34.1959991455078,17.6720008850098,16.523998260498,26.4033336639404,25.0186672210693,27.5653343200684,22.5786666870117,2095,468,30,95.285285949707,1275,97,367,146
